artist_name,track_title,track_genre_top,track_genres_all
AWOL,Food,Hip-Hop,['Hip-Hop']
AWOL,Electric Ave,Hip-Hop,['Hip-Hop']
AWOL,This World,Hip-Hop,['Hip-Hop']
Kurt Vile,Freeway,Pop,['Pop']
AWOL,Street Music,Hip-Hop,['Hip-Hop']
Alec K. Redfearn & the Eyesores,CandyAss,Folk,['Folk']
Alec K. Redfearn & the Eyesores,Queen Of The Wires,Folk,['Folk']
Alec K. Redfearn & the Eyesores,Ohio,Folk,['Folk']
Alec K. Redfearn & the Eyesores,Punjabi Watery Grave,Folk,['Folk']
Amoebic Ensemble,Wire Up,Jazz,['Jazz']
Amoebic Ensemble,Amoebiasis,Jazz,['Jazz']
Amoebic Ensemble,Gimme a Buck or I'll Touch You / Boilermaker,Jazz,['Jazz']
Amoebic Ensemble,Repetitive Motion Sickness,Jazz,['Jazz']
Arc and Sender,Hundred-Year Flood,Rock,"['Post-Rock', 'Rock']"
Arc and Sender,Squares And Circles,Rock,"['Post-Rock', 'Rock']"
Arc and Sender,Maps of the Stars Homes,Rock,"['Post-Rock', 'Rock']"
Argumentix,Boss of Goth,Rock,"['Punk', 'Rock']"
Argumentix,Industry Standard Massacre,Rock,"['Punk', 'Rock']"
Argumentix,Marching as Technitions,Rock,"['Punk', 'Rock']"
Argumentix,I Can't Stand You Up-right,Rock,"['Punk', 'Rock']"
Argumentix,Save Life's Golden Receipt In Case Refund Needed,Rock,"['Punk', 'Rock']"
Argumentix,Senator's Stance,Rock,"['Punk', 'Rock']"
Argumentix,Snapped Today,Rock,"['Punk', 'Rock']"
Argumentix,Step Up to Legends,Rock,"['Punk', 'Rock']"
Argumentix,Petty Hate Machine,Rock,"['Punk', 'Rock']"
Argumentix,Lend Me a Blanket,Rock,"['Punk', 'Rock']"
Argumentix,Ready to Die,Rock,"['Punk', 'Rock']"
Ed Askew,The Thought Of It,Folk,['Folk']
Ed Askew,Castle Of Stars,Folk,['Folk']
Ed Askew,Song About Michael,Folk,['Folk']
Ed Askew,Ed Talk WNYC,Folk,['Folk']
Ed Askew,Here With You,Folk,['Folk']
Ed Askew,All I want to Do,Folk,['Folk']
Ed Askew,I Remember You,Folk,['Folk']
Ed Askew,Bright Mr Brother,Folk,['Folk']
Ed Askew,Piano 2,Folk,['Folk']
Ed Askew,It Breaks My Heart,Folk,['Folk']
Ed Askew,Rimbaud,Folk,['Folk']
Ed Askew,Baby Come Home,Folk,['Folk']
Ed Askew,Big City,Folk,['Folk']
Ed Askew,Palomino,Folk,['Folk']
Ed Askew,Song For R,Folk,['Folk']
Ed Askew,My Dream,Folk,['Folk']
Ed Askew,What Crow Saw,Folk,['Folk']
Ed Askew,Bella Crane,Folk,['Folk']
Ed Askew,Piano 3,Folk,['Folk']
Ed Askew,Safe Harbor,Folk,['Folk']
Ed Askew,Safe Harbor,Folk,['Folk']
Ed Askew,In the French Court,Folk,['Folk']
Ed Askew,In America,Folk,['Folk']
Ed Askew,When I Arive,Folk,['Folk']
Au,Boute,Pop,['Pop']
Bad News Bats,W.T.M.,Rock,"['Punk', 'Rock']"
Bad News Bats,Don't Run With Pizzas,Rock,"['Punk', 'Rock']"
Barnacled,Garbage and (Garbage and Fire),Jazz,['Jazz']
Barnacled,France Attacks,Jazz,['Jazz']
Bird Names,A New Map for Kissing,Rock,['Rock']
Bird Names,The Indefinite Time Yet to Come,Rock,['Rock']
Bird Names,It's Becoming a Stranger,Rock,['Rock']
Bird Names,We Want to be Old,Rock,['Rock']
Black Elk,Toggle,Rock,"['Rock', 'Metal']"
Black Elk,My Lil',Rock,"['Rock', 'Metal']"
Black Elk,Eyebone,Rock,"['Rock', 'Metal']"
Blah Blah Blah,Splish spladdy,Rock,"['Post-Punk', 'Rock', 'Punk']"
Blah Blah Blah,Woo You,Rock,"['Post-Punk', 'Rock', 'Punk']"
